,precision,recall,f1-score,support
F,0.001885014137606032,0.09090909090909091,0.003693444136657433,22.0
N,0.9740059013629339,0.5413933145891909,0.6959489985442497,12804.0
Q,0.22470119521912352,0.15631929046563192,0.18437397842432168,1804.0
S,0.005517241379310344,0.0625,0.010139416983523447,64.0
V,0.15216240070609002,0.7635075287865367,0.25375331174565796,1129.0
accuracy,0.510775453453833,0.510775453453833,0.510775453453833,0.510775453453833
macro avg,0.2716543505610127,0.32292584495009014,0.22958182996688206,15823.0
weighted avg,0.8246677900134477,0.5107754534538331,0.6023357961105257,15823.0
